Level 1,Level 1 Description,Level 2,.,Level 3 ,Level 3 Description,Level 4,Level 4 Description,Full level 4 code,,
10,Live Plant & Animal Material & Accessories & Supplies,14,Saddlery & harness goods,15,Saddlery,04,Muleshoes,10141504,,
10,Live Plant & Animal Material & Accessories & Supplies,14,Saddlery & harness goods,16,Harness goods,01,Bridles,10141601,,
10,Live Plant & Animal Material & Accessories & Supplies,14,Saddlery & harness goods,16,Harness goods,02,Yokes,10141602,,
10,Live Plant & Animal Material & Accessories & Supplies,14,Saddlery & harness goods,16,Harness goods,03,Horse bits,10141603,,
10,Live Plant & Animal Material & Accessories & Supplies,14,Saddlery & harness goods,16,Harness goods,04,Reins,10141604,,
10,Live Plant & Animal Material & Accessories & Supplies,14,Saddlery & harness goods,16,Harness goods,05,Stirrups,10141605,,
10,Live Plant & Animal Material & Accessories & Supplies,14,Saddlery & harness goods,16,Harness goods,06,Leashes or leads,10141606,,
10,Live Plant & Animal Material & Accessories & Supplies,14,Saddlery & harness goods,16,Harness goods,07,Collars,10141607,,
10,Live Plant & Animal Material & Accessories & Supplies,14,Saddlery & harness goods,16,Harness goods,08,Harnesses or its accessories,10141608,,
10,Live Plant & Animal Material & Accessories & Supplies,14,Saddlery & harness goods,16,Harness goods,09,Restraints,10141609,,
10,Live Plant & Animal Material & Accessories & Supplies,14,Saddlery & harness goods,16,Harness goods,10,Muzzles,10141610,,
10,Live Plant & Animal Material & Accessories & Supplies,14,Saddlery & harness goods,16,Harness goods,11,Leash holders,10141611,,
10,Live Plant & Animal Material & Accessories & Supplies,15,Seeds & bulbs & seedlings & cuttings,15,Vegetable seeds & seedlings,01,Bean seeds or seedlings,10151501,,
10,Live Plant & Animal Material & Accessories & Supplies,15,Seeds & bulbs & seedlings & cuttings,15,Vegetable seeds & seedlings,02,Carrot seeds or seedlings,10151502,,
10,Live Plant & Animal Material & Accessories & Supplies,15,Seeds & bulbs & seedlings & cuttings,15,Vegetable seeds & seedlings,03,Celery seeds or seedlings,10151503,,
10,Live Plant & Animal Material & Accessories & Supplies,15,Seeds & bulbs & seedlings & cuttings,15,Vegetable seeds & seedlings,04,Chili seeds or seedlings,10151504,,
10,Live Plant & Animal Material & Accessories & Supplies,15,Seeds & bulbs & seedlings & cuttings,15,Vegetable seeds & seedlings,05,Courgette seeds or seedlings,10151505,,
10,Live Plant & Animal Material & Accessories & Supplies,15,Seeds & bulbs & seedlings & cuttings,15,Vegetable seeds & seedlings,06,Pea seeds or seedlings,10151506,,
10,Live Plant & Animal Material & Accessories & Supplies,15,Seeds & bulbs & seedlings & cuttings,15,Vegetable seeds & seedlings,07,Cucumber seeds or seedlings,10151507,,
